team_id,team_market,team_name,team_abbr,player_id,player_name,position,primary_position,jersey_number,player_status,injury_id,injury_status,injury_type,injury_desc,injury_start,injury_update
a09ec676-f887-43dc-bbb3-cf4bbaee9a18,New York,Yankees,NYY,dfc35421-2c21-40db-bc7d-895ef8d79b02,Jake Cousins,P,RP,61,D60,a4e66250-85aa-4654-9033-55261278a159,D60,Elbow,The New York Yankees placed RHP Jake Cousins on the 60-day injured list on Thursday (Mar. 27). Cousins underwent Tommy John surgery on Thursday (Jun. 18) and is now on the way to recovery. ,2025-03-27,2025-06-18
a09ec676-f887-43dc-bbb3-cf4bbaee9a18,New York,Yankees,NYY,f2c55fb7-f18f-44ab-80a0-7e5d8ee165cc,Oswaldo Cabrera,IF,3B,95,D60,2585eff8-0d28-4740-bcfb-a0e4c1517a7a,D60,Ankle,The New York Yankees transferred INF Oswaldo Cabrera from the 10-day injured list to the 60-day injured list with a left ankle fracture.,2025-05-13,2025-06-19
2142e1ba-3b40-445c-b8bb-f1f8b1054220,Philadelphia,Phillies,PHI,d8a8391b-8616-4398-bcfd-eeae86167c88,Daniel Robert,P,RP,48,D60,4c4dedd5-be76-43b1-ac91-81051eb6a8e2,D60,Forearm,The Philadelphia Phillies transferred RHP Daniel Robert to the 60-day injured list with a right forearm strain.,2025-09-03,2025-09-08
2142e1ba-3b40-445c-b8bb-f1f8b1054220,Philadelphia,Phillies,PHI,f2c07e82-71e8-4c76-962b-3a7739a11626,Zack Wheeler,P,SP,45,D60,eb25ff9e-03ba-4ac5-a60d-d43c9f5adb02,D60,Blood Clot,The Philadelphia Phillies transferred RHP Zack Wheeler to the 60-day injured list due to to a blood clot.,2025-08-16,2025-08-31
481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,Pittsburgh,Pirates,PIT,76c4820c-ac98-4fbb-8f7f-d4fc888e2389,Dugan Darnell,P,RP,52,D60,ee7f0b22-cecd-47e3-9b70-ea35791f49fa,D60,Hip,The Colorado Rockies transferred RHP Dugan Darnell from the 15-day injured list to the 60-day injured list due to a left hip inflammation.,2025-08-22,2025-08-24
481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,Pittsburgh,Pirates,PIT,f7a9c3be-c466-4ada-9146-f1c5137b5436,Endy Rodríguez,IF,1B,5,D60,7c92b6a2-bab6-433b-9e88-1132af69e339,D60,Elbow,The Pittsburgh Pirates transferred C Endy Rodríguez to the 60-day injured list with a right elbow inflammation.,2025-06-06,2025-06-13
481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,Pittsburgh,Pirates,PIT,37f33376-ea29-4a8b-8acf-963af66bf126,Enmanuel Valdez,IF,1B,48,D60,b95ab066-ca18-448c-b5af-d9eab9afb679,D60,Shoulder,The Pittsburgh Pirates transferred INF Enmanuel Valdez from the 10-day injured list to the 60-day injured list with left shoulder inflammation. Valdez recently underwent season-ending surgery on his dislocated left shoulder.,2025-05-09,2025-05-14
481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,Pittsburgh,Pirates,PIT,490a7926-88a2-4d53-b9c6-24be8882703a,Jared Jones,P,SP,37,D60,6bfec6ff-ed91-4635-add5-9dcba1dce26e,D60,Elbow,The Pittsburgh Pirates transferred RHP Jared Jones to the 60-Day injured list with a right elbow UCL sprain.,2025-03-26,2025-03-31
481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,Pittsburgh,Pirates,PIT,4c696c69-01ad-4039-a18c-72bc1a4eff6c,Ronny Simon,IF,2B,63,D60,850c5cc3-71a6-4a43-b85b-4e72aa120608,D60,Shoulder,The Pittsburgh Pirates transferred INF Ronny Simon from the 10-day injured list to the 60-day injured list with dislocated left shoulder.,2025-08-30,2025-09-23
d52d5339-cbdd-43f3-9dfa-a42fd588b9a3,San Diego,Padres,SD,bb8651aa-fe5b-41ca-9b19-dca358fb9507,Jason Adam,P,RP,40,D60,2af0e5ae-3224-4d29-a280-b81551cb97cf,D60,Quad,The San Diego Padres transferred RHP Jason Adam from the 15-day injured list to the 60-day injured list.,2025-09-01,2025-09-30
